Sl No,Screen Name,Details ,Business Requirement ,Section/ Screen,Functional Requirement ,Field Description/ Validation,Acceptance Criteria ,Remarks
1,User Authentication System,"There are 2 user role in the system:
1. Admin","As a Admin, I want to login into the app
",,"Login screen should contain

1. Phone no as UID
2. OTP received 
3. Email id field optional ",Phone no should be taken only numeric 10 numbers only ,"1. Only india no should be taken for login
2. OTP should go to given no,
3. this otp should limited time","Master Admin would be created by default by ZV, and then this MA can created another users"
1.1,,,"As a Admin, after login to the app
I should have full access of the system ",,"User should land on Dashboard page with below pages available in the left side panel 

1. Dashboard
2. Godown 
3. Purchase Order
4. Sales 
5. Mortaility 
6. Expense
7. Reports
8. FInancial Analytics
9. Master Data Entry
10. Users
11. Setting",NA,,
1.2,,2. Manager,"As a Manager, I want to login in the app
",,"Login screen should contain

1. Phone no as UID
2. OTP received 
3. Email id field optional ",Phone no should be taken only numeric 10 numbers only ,"1. Only india no should be taken for login
2. OTP should go to given no,
3. this otp should limited time
4. This operator should be already created by Admin",Admin will add this user already with operator role and then this user would receive the OTP
1.3,,,"As a Manager, after login to the app
I should have limited access of the system ",,"User should land on Dashboard page with below pages available in the left side panel 

1. Dashboard
2. Godown 
3. Purchase Order
4. Sales 
5. Mortaility 
6. Expense
7. Master Data Entry
8. Users
",NA, ,
1.2,,2. Operator,"As a Operator, I want to login in the app
",,"Login screen should contain

1. Phone no as UID
2. OTP received 
3. Email id field optional ",Phone no should be taken only numeric 10 numbers only ,"1. Only india no should be taken for login
2. OTP should go to given no,
3. this otp should limited time
4. This operator should be already created by Admin",Admin will add this user already with operator role and then this user would receive the OTP
1.3,,,"As a Operator, after login to the app
I should have limited access of the system ",,"User should land on Dashboard page with below pages available in the left side panel 

1. Dashboard
2. Godown 
3. Purchase Order
4. Sales 
5. Mortaility 
6. Expense
",NA, ,
2,Dashboard Overview,1. initially this will show data from logged in date,1. initially this will show data from logged in date,,"1. It will show different information in multiple blocks like
a. Total Purchase qnt
b Total Value rs
c. Total Expense
d. Net profit ",,,
2.1,,,,,2. Revenue Trends ,,,
2.2,,,,,3. Expense Breakdown ,,,
2.3,,,,,5. Filter date wise calendar option ,,,
2.4,,,,,,,,
